page_id	expected_page_evidence_sha256	outcome	notes
1922-2-fraser/rmbd_192207_07_pennsylvania.pdf#page=7	d3d7e9c54536d7ef6518ae8c12205e788dc55466b4b36f079320930223e84042	confirmed_problem	Cache has 5 banks and stops at Bellefonte Trust; scan continues with First National Bank and many later entries. Visible 125,000 capital for Bellefonte Trust is also null in cache.
1924-2-fraser/rmbd_192407_06_nebraska.pdf#page=15	fc2a872b7de0f985cba7b68efb490996d3eaf8ef334d70cda71be8ebe2e0f112	confirmed_problem	Cache has 6 banks through Dorchester; scan continues with Douglas and many subsequent towns.
1914-2-google.pdf#page=820	47ae2d383ab218bc4d722b9376a86db3401faf46381d1b2bad24179c510d1f9a	confirmed_problem	Cache has 4 banks through Clarkson; scan continues with Clatonia, Clay Center, and many later entries.
1913-2-google.pdf#page=345	76cf00d16dded2cd66580d3ed7bd4adde622aa1f341a8360c02515113234099e	confirmed_problem	Cache contains only 3 Columbus banks; rotated scan visibly continues through Connersville to Crown Point with many bank rows.
1917-1-hathi.pdf#page=781	489795625d8bdf8d3676616a29e64fed2eb545c80d46e71095b4a8b94ef7a1dc	confirmed_problem	Cache has 4 banks through Avalon; scan continues with Bagwell, Bakersfield, and many later entries.
1926-2-fraser/rmbd_192607_05_michigan.pdf#page=289	1d64753913a7ee08c51bb62a8e4d9d5f12dbfecf557a36d0230a071abd7770a4	confirmed_problem	Cache has 7 banks through Swedeburg; scan continues with Sweetwater, Syracuse, and many later entries.
1917-1-hathi.pdf#page=1077	57996490bdbce5dd01c85d21e91997dc376fb4bb3f02e2a1cc3c69d0dd7838c5	confirmed_problem	Cache has 4 banks through Carpio; scan continues with Carson, Carthage, and many later entries.
1916-1-google.pdf#page=684	53527aad86fb0b550b338c7ed66c0153cf9b96fd54e33759ea87d3f3c7379349	confirmed_problem	V1 extracted raster is badly corrupted; clear hash-matched PDF render shows many records after Motley, while cache stops at 5 banks.
1918-1-fraser/rmbd_191801_07_ohio.pdf#page=132	8bb99ff6f364017597802dd4cda5092a085acf6c95ff3e7607e6ce38b03613cb	confirmed_problem	Cache contains only 5 Hazleton banks; scan continues with Hegins and many later towns.
1913-2-google.pdf#page=255	d4a31b1085a939596799b94de77c138fa324d97ce3baa6b786b896ef67d96e57	confirmed_problem	Cache contains only 3 Aledo banks; rotated scan continues with Alexander, Alexis, and many later entries.
1917-1-hathi.pdf#page=737	a03faf5fedbf86ef83017228ded5c72bfdb870a1549e60d64c5035f2b3a1f3f2	confirmed_problem	Cache has 4 banks through Pelican Rapids First National; scan shows another Pelican Rapids bank and many subsequent entries.
1930-1-fraser/rmbd_193001_03_illinois.pdf#page=258	57048851708d2d3c91c60cf801472a86be94ef7541fa494d87f32253df16b2d6	confirmed_problem	Cache has 4 banks through Libertyville; scan continues with Lime Springs and many later entries.
1911-1-google.pdf#page=516	1538b376c00d3ef1f0076cda415d444f6ffbe4deae342e537df8c09e5c8851f7	confirmed_problem	Cache has 7 Newton and North Adams banks; rotated scan continues with North Attleboro and many later entries.
1919-2-fraser/rmbd_191907_05_michigan.pdf#page=121	3476d795eccef5327c4b9f8ac72636e341970512df2946652e1a4c425f0bf7e5	confirmed_problem	Cache has 3 banks through Utica; scan continues with Verdi, Vergas, and many later entries.
1925-1-fraser/rmbd_192501_04_kansas.pdf#page=33	30a2fa00f6689236c2f1c9823cf7d28b2ff54b740cbc81171af66c1d00a938c5	confirmed_problem	Cache has 4 banks through Farmers and Merchants State Bank of Macksville; scan shows Macksville State Bank and many later entries.
1927-1-fraser/rmbd_192701_06_newyork.pdf#page=141	5e755d1237061cd0c8b000ee4632a15dd1bae7dbf1ba7fe546aa0321ca2236e2	confirmed_problem	Cache has 4 banks; scan visibly includes omitted Cleveland and Wadesboro First National entries plus many later rows.
1917-1-hathi.pdf#page=115	bb2d3ca45f6545e693f13676f7de7966fd45c2c4968ff69b8682d58e7e1d0ae6	confirmed_problem	Cache has 4 banks through Hollywood Citizens Savings; scan continues with several Hollywood banks and many later entries.
1919-1-fraser/rmbd_191901_08_texas.pdf#page=205	95b38828ced171b484da847f519b41db3a6022d7116628bc9319ae3fd3ff90a9	confirmed_problem	Cache has 4 banks through Pardeeville; scan continues with Park Falls and many later entries.
1930-2-fraser/rmbd_193007_04_kansas.pdf#page=193	6ad2575c74b49af2d4488e1d84ea31a1180c60f6345c9eb4b324f6193befbeec	confirmed_problem	Cache has 5 banks through Climax; scan continues with Clinton, Clio, and many later entries.
1924-1-fraser/rmbd_192401_05_minnesota.pdf#page=85	1f83b8d73670b37ec3061d62ea4e118abdcdff02ae2142567f758573bd6cfc3c	confirmed_problem	Cache has 3 banks through Vesta; scan continues with Victoria through Waconia.
1924-2-fraser/rmbd_192407_04_iowa.pdf#page=112	43f9bbc3cd0c0c45e8f0796f2890f4b0e8f377943603e822dc7a624d69170131	confirmed_problem	Cache has 6 banks through Hunnewell; scan continues with Hunter, Huron, Hutchinson, and many later entries.
1922-1-fraser/rmbd_192201_08_texas.pdf#page=207	bb76d011947b61d019a1658c182e3d4837c7fc182c769bdaa952c57326f5f260	confirmed_problem	Cache has 5 banks through Dorchester; scan continues with Dousman and many entries through Eau Claire.
1926-2-fraser/rmbd_192607_04_iowa.pdf#page=72	ae751352ddd7c2ddd30e0f10c468864cc8429203238f46ef2ddf2e00d80d920b	confirmed_problem	Cache has 5 banks through Sunbury; scan continues with Superior and many later entries.
1924-1-fraser/rmbd_192401_08_texas.pdf#page=68	a4b1cebd6709f579cc65196dbd66988929f2210b2216e525adc7e19515e84112	confirmed_problem	Cache contains only 4 Palestine banks; scan continues with Palmer, Palo Pinto, Pampa, and many later entries.
1922-1-fraser/rmbd_192201_05_minnesota.pdf#page=105	b26fd462b9aa8c1f5f5be4c0e63ebf132086c7f8c7c2336e8be744a09ca5d565	confirmed_problem	Cache has 5 banks through Osyka; scan continues with Oxford and many later entries.
1920-1-fraser/rmbd_192001_04_kansas.pdf#page=50	c523394a5bfe5dd126ce6809067bf618533674d55c2623c93fb287e3ba98afd9	confirmed_problem	Scan continues after 7 cached rows; Kansas Reserve State Bank through Topeka State Bank are omitted. Guaranty State Bank capital is visibly 50,000 but cached blank.
1935-1-fraser/rmbd_1935first_06_newmexico.pdf#page=308	09716f3edfd874c0f0e53e8e7a0f85effb0a42fef85214817658f8f2431be08a	confirmed_problem	Scan contains numerous Scranton institutions after the 4 cached rows; Pennsylvania Trust Co. through West Side Bank are omitted.
1909-2-google.pdf#page=247	853ef5d51aef42b6814808f859638e82ce746d519a55ab0ecd89da086267856f	confirmed_problem	Dense Indiana page; cache contains only Francesville, Francisco, and the first Frankfort bank, omitting the remainder.
1914-2-google.pdf#page=755	367f1f7071e23670c06e7b883e71af7cd2c9e3696eada5c9df21a38dc8048abc	confirmed_problem	Dense Missouri page; cache contains only the first Lancaster bank and omits the remaining entries through Lesterville.
1915-1-google.pdf#page=416	4a2289b0c7e4c689655d9b0160bbeede847e42247a83d78ca975bd1f69bbac30	confirmed_problem	Dense Iowa page; cache contains only 2 Cherokee rows and omits the remaining entries through Cleghorn.
1919-1-fraser/rmbd_191901_08_texas.pdf#page=18	e75ded1c6d3910fff9b2a0f69930fa59270c1e6d8f839bb8c88f26c2e12443b6	confirmed_problem	Dense Texas page; cache contains only Como and two Conroe rows, omitting Cookville through Cranfills Gap.
1918-1-fraser/rmbd_191801_05_massachusetts.pdf#page=104	dc7bff9025c13595eb1f9ad28ccff284a7c7783c197e13557032d66fc1eeca95	confirmed_problem	Dense Minnesota page; cache stops after 4 Little Falls banks and omits Littlefork through Mabel.
1923-1-fraser/rmbd_192301_08_virginia.pdf#page=130	60c83ebb0ef0b5a59fad88c0a9f58f26011636e4c30bc8085bdcdf04f034ed6b	confirmed_problem	Dense Wisconsin page; cache stops after Pardeeville and omits Park Falls through Portage.
1938-2-fraser/rmbd_1938final_04_kansas.pdf#page=30	27d0094ae57f0943c7b79ffbb3867b5181386779004ca35cbd2c7dc24a68a0f1	confirmed_problem	Dense Kansas page; cache contains only 2 Pleasanton banks and omits Plevna through Reading.
1917-2-fraser/rmbd_191707_04_indiana.pdf#page=154	d077e3eb5faef924b179eb6300d575a95a974e3c8918f974d9436b17d364e711	confirmed_problem	Dense Kansas page; cache stops after 4 Furley/Galatia/Galena rows and omits Galesburg through Girard.
1938-2-fraser/rmbd_1938final_04_kansas.pdf#page=28	7fa943776afce355a225e417ea0c0db60a8ed66bb0536692b8593f293196c4f5	confirmed_problem	Dense Kansas page; cache contains only Olmitz and Olpe and omits Olsburg through Palco.
